instrument,price,timestamp
IE000Y77LGG9,"(9734,2,EUR)",2024-10-08T14:52:46.150Z
IE00B1XNHC34,"(7341,3,EUR)",2024-10-08T15:29:13.734Z
IE00B441G979,"(90516,3,EUR)",2024-10-08T15:23:23.927Z
IE00BGV5VN51,"(12306,2,EUR)",2024-10-08T15:27:07.991Z
IE00BYXYX521,"(274199,4,EUR)",2024-10-08T14:58:24.718Z
LU0489337690,"(25065,3,EUR)",2024-10-08T14:52:43.199Z
DE0005933931,"(15876,2,EUR)",2024-10-08T15:24:52.709Z
IE00BKWQ0F09,"(19898,2,EUR)",2024-10-08T13:06:56.682Z
IE00BKWQ0H23,"(2287,1,EUR)",2024-10-08T14:56:38.175Z
LU1861137484,"(8537,2,EUR)",2024-10-08T15:22:04.554Z
IE000Y77LGG9,"(9799,2,EUR)",2024-10-09T15:28:13.473Z
